,tweet_id,created_at,user_id,retweeted_status_id,retweeted_user_id,credibility_score
0,1340468299025551360,2020-12-20 01:25:21+00:00,497188910,1340325850378592257,1017807360075665408,64.5
5,1340480189462134784,2020-12-20 02:12:36+00:00,2288557992,1340427316573462530,1063806444380798976,95.0
6,1340481082270085120,2020-12-20 02:16:09+00:00,1237071348662448129,1340427316573462530,1063806444380798976,95.0
7,1340481539709276163,2020-12-20 02:17:58+00:00,475234937,1340481328056332289,122733775,90.0
9,1340489259183206406,2020-12-20 02:48:39+00:00,100878763,1340427316573462530,1063806444380798976,95.0
10,1340493163501334528,2020-12-20 03:04:09+00:00,1246595841604947973,1340426688941993990,331617619,82.5
14,1340500324474384384,2020-12-20 03:32:37+00:00,1234364046989766656,1340426688941993990,331617619,82.5
15,1340502386381615104,2020-12-20 03:40:48+00:00,1619917472,1340426688941993990,331617619,82.5
17,1340503740433002496,2020-12-20 03:46:11+00:00,1277804951842979845,1340503265373466624,242880993,20.0
18,1340504671039975428,2020-12-20 03:49:53+00:00,810235254870937600,1340425228950925313,1311654239513522176,64.5
19,1340510682031280130,2020-12-20 04:13:46+00:00,94997151,1340391823194415106,1715437910,100.0
21,1340515040370278402,2020-12-20 04:31:05+00:00,1102714987787837445,1340503265373466624,242880993,20.0
22,1340516854259798017,2020-12-20 04:38:18+00:00,1278722296367075328,1340324431512649728,1017807360075665408,64.5
24,1340519044961759232,2020-12-20 04:47:00+00:00,988373714,1340428826694852609,372937945,5.0
25,1340519920514293760,2020-12-20 04:50:29+00:00,821343,1340427316573462530,1063806444380798976,95.0
27,1340521034517241857,2020-12-20 04:54:54+00:00,140032760,1340324106487656449,726721856749842436,5.0
28,1340521296531218438,2020-12-20 04:55:57+00:00,69920939,1340503265373466624,242880993,20.0
29,1340523634088022016,2020-12-20 05:05:14+00:00,1278722296367075328,1340324106487656449,726721856749842436,5.0
32,1340525078799376386,2020-12-20 05:10:59+00:00,131847468,1340524562866466817,54226483,95.0
37,1340527611156590592,2020-12-20 05:21:02+00:00,110372659,1340427316573462530,1063806444380798976,95.0
39,1340528594997682177,2020-12-20 05:24:57+00:00,715644689622372352,1340427316573462530,1063806444380798976,95.0
41,1340531390304161792,2020-12-20 05:36:03+00:00,941192694503587840,1340531276730798080,245969509,82.5
42,1340531922594836481,2020-12-20 05:38:10+00:00,862970692958138368,1340531276730798080,245969509,82.5
43,1340531969805959168,2020-12-20 05:38:22+00:00,2492906047,1340426688941993990,331617619,82.5
46,1340536021184892928,2020-12-20 05:54:28+00:00,273897097,1340427316573462530,1063806444380798976,95.0
47,1340538545459646465,2020-12-20 06:04:29+00:00,1150751883566493696,1340535725914161152,245969509,49.5
52,1340541949070159873,2020-12-20 06:18:01+00:00,498068054,1340427316573462530,1063806444380798976,95.0
60,1340546341387325442,2020-12-20 06:35:28+00:00,11540552,1340427316573462530,1063806444380798976,95.0
62,1340548610639978497,2020-12-20 06:44:29+00:00,62285317,1340427316573462530,1063806444380798976,95.0
66,1340550426882662401,2020-12-20 06:51:42+00:00,2876249524,1340427316573462530,1063806444380798976,95.0
71,1340551187637161984,2020-12-20 06:54:44+00:00,2270259265,1340550651810631680,975616683611181057,5.0
73,1340551474556907525,2020-12-20 06:55:52+00:00,424084271,1340427316573462530,1063806444380798976,95.0
74,1340551475911602178,2020-12-20 06:55:52+00:00,353251479,1340192319119773697,1322629376421355521,5.0
75,1340551528986370054,2020-12-20 06:56:05+00:00,2234580853,1340427316573462530,1063806444380798976,95.0
77,1340552820009910272,2020-12-20 07:01:13+00:00,103097087,1340427316573462530,1063806444380798976,95.0
82,1340554036714606593,2020-12-20 07:06:03+00:00,304598010,1340427316573462530,1063806444380798976,95.0
83,1340554328663318528,2020-12-20 07:07:12+00:00,1190983527266959360,1340503265373466624,242880993,20.0
86,1340556192519753728,2020-12-20 07:14:37+00:00,862970692958138368,1340351862193721344,503223395,100.0
93,1340558130426630145,2020-12-20 07:22:19+00:00,2515461941,1340435689503141889,975616683611181057,62.0
94,1340558219467472896,2020-12-20 07:22:40+00:00,3030533474,1340555746845601792,76786936,95.0
95,1340558509679755265,2020-12-20 07:23:49+00:00,3337295067,1340555746845601792,76786936,95.0
100,1340559389950930944,2020-12-20 07:27:19+00:00,1117769096974753793,1340324106487656449,726721856749842436,5.0
104,1340560545188098049,2020-12-20 07:31:55+00:00,1058862104,1340558003360182273,106772715,95.0
105,1340560611638308864,2020-12-20 07:32:10+00:00,229160327,1340427316573462530,1063806444380798976,95.0
106,1340560672648785920,2020-12-20 07:32:25+00:00,2876249524,1340555746845601792,76786936,95.0
112,1340561468488609794,2020-12-20 07:35:35+00:00,904374802743427072,1340427316573462530,1063806444380798976,95.0
114,1340561545743519744,2020-12-20 07:35:53+00:00,708223810,1340324106487656449,726721856749842436,5.0
115,1340561741042905088,2020-12-20 07:36:40+00:00,934466103090270208,1340427316573462530,1063806444380798976,95.0
120,1340562955461652481,2020-12-20 07:41:29+00:00,1408827164,1340427316573462530,1063806444380798976,95.0
121,1340563007236157442,2020-12-20 07:41:42+00:00,1163185103784337413,1340427316573462530,1063806444380798976,95.0
122,1340563308533997568,2020-12-20 07:42:53+00:00,896048840947765249,1340427316573462530,1063806444380798976,95.0
125,1340563936932982785,2020-12-20 07:45:23+00:00,773002169553457152,1340560298915323906,1072167411984551936,100.0
128,1340565610800013312,2020-12-20 07:52:02+00:00,1063806444380798976,1340427316573462530,1063806444380798976,95.0
129,1340565721349296128,2020-12-20 07:52:29+00:00,1032974953510039552,1340427316573462530,1063806444380798976,95.0
130,1340566235642212354,2020-12-20 07:54:31+00:00,1004030031457333253,1340427316573462530,1063806444380798976,95.0
